Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
AF,Nuristan,35.3,70.83,27.59,86,0,7.34,1602704708
ZA,Hermanus,-34.42,19.23,61.0,74,0,5.01,1602704708
AR,Ushuaia,-54.8,-68.3,48.2,57,40,12.75,1602704691
GL,Qaanaaq,77.48,-69.36,30.56,85,45,6.87,1602704709
PF,Rikitea,-23.12,-134.97,73.63,80,27,19.46,1602704419
US,Barrow,71.29,-156.79,24.8,68,90,14.99,1602704709
EC,Puerto Baquerizo Moreno,-0.9,-89.6,75.2,78,40,13.87,1602704710
SO,Garoowe,8.41,48.48,78.94,70,19,21.94,1602704710
MZ,Cuamba,-14.8,36.54,73.89,51,0,8.66,1602704710
MX,Coahuayana Viejo,18.73,-103.68,82.4,69,20,11.41,1602704710
MV,Hithadhoo,-0.6,73.08,82.74,76,24,13.47,1602704500
MX,Todos Santos,23.45,-110.22,89.01,68,100,10.0,1602704711
OM,Salalah,17.02,54.09,78.8,94,40,3.36,1602704713
CA,Halifax,44.65,-63.57,62.01,100,90,13.87,1602704457
BR,Iguaba Grande,-22.84,-42.23,78.8,74,41,8.05,1602704714
GD,St. George's,12.06,-61.75,86.0,74,40,9.17,1602704714
US,Albany,42.6,-73.97,69.01,37,1,1.01,1602704428
PF,Atuona,-9.8,-139.03,77.94,73,25,21.99,1602704714
VE,Carupano,10.67,-63.26,85.14,76,20,9.82,1602704715
SJ,Longyearbyen,78.22,15.64,28.4,79,40,5.82,1602704609
IR,Kalāleh,37.38,55.49,61.95,29,0,2.21,1602704715
ID,Karaton,-6.34,106.1,81.0,88,40,4.7,1602704716
NZ,Mataura,-46.19,168.86,37.99,93,0,1.99,1602704716
GA,Gamba,-2.65,10.0,74.82,83,7,7.25,1602704716
RE,Saint-Philippe,-21.36,55.77,75.2,83,90,1.12,1602704716
KI,Butaritari,3.07,172.79,81.9,76,100,11.54,1602704494
JP,Hasaki,35.73,140.83,64.4,82,75,11.41,1602704544
AU,Busselton,-33.65,115.33,52.0,96,0,10.47,1602704717
UY,Chui,-33.7,-53.46,63.16,77,3,7.52,1602704483
IS,Vestmannaeyjar,63.44,-20.27,48.27,81,100,31.18,1602704718
CA,High Level,58.52,-117.14,28.4,63,75,10.29,1602704594
CD,Kikwit,-5.04,18.82,70.47,95,70,2.01,1602704719
US,Westport,41.14,-73.36,69.01,49,1,13.87,1602704705
CL,Punta Arenas,-53.15,-70.92,51.8,50,75,25.28,1602704720
GL,Upernavik,72.79,-56.15,33.42,86,15,5.75,1602704720
BR,Manaus,-3.1,-60.02,80.6,78,75,3.36,1602704720
TR,Erzin,36.96,36.2,75.99,78,30,1.57,1602704720
AU,Port Lincoln,-34.73,135.87,74.41,28,100,21.05,1602704721
ID,Maumere,-8.62,122.21,79.29,76,26,3.56,1602704721
PT,Ponta do Sol,32.67,-17.1,71.6,73,75,10.29,1602704721
ID,Bengkulu,-3.8,102.27,76.19,87,100,3.62,1602704722
US,Kapaa,22.08,-159.32,80.6,74,1,3.38,1602704722
AR,San Luis,-33.3,-66.34,82.83,17,63,5.3,1602704562
NO,Andenes,69.31,16.12,41.0,80,75,21.92,1602704722
ID,Nabire,-3.37,135.48,76.44,88,100,2.82,1602704723
CK,Avarua,-21.21,-159.78,71.6,60,100,5.82,1602704723
GB,Glasgow,55.87,-4.26,50.0,81,29,8.05,1602704626
ZA,Richards Bay,-28.78,32.04,65.71,70,89,5.75,1602704724
AU,Dubbo,-32.25,148.62,55.4,87,51,9.17,1602704724
AR,Río Gallegos,-51.62,-69.22,60.8,23,75,12.75,1602704656
NO,Berlevåg,70.86,29.09,37.4,86,40,16.11,1602704724
ZA,Saldanha,-33.01,17.94,60.8,48,0,4.7,1602704725
NZ,Bluff,-46.6,168.33,37.99,93,0,1.99,1602704506
GR,Doliana,39.9,20.58,55.4,82,2,3.36,1602704725
ZA,Port Elizabeth,-33.92,25.57,60.8,87,0,12.75,1602704553
CA,Lumby,50.25,-118.97,57.99,63,59,1.01,1602704726
MV,Ugoofaaru,5.67,73.0,82.72,77,100,23.78,1602704726
US,Hilo,19.73,-155.09,82.4,54,1,6.78,1602704437
US,Sitka,57.05,-135.33,46.4,87,75,2.93,1602704726
VE,Zaraza,9.35,-65.32,85.75,77,31,0.96,1602704728
RU,Vilyuysk,63.76,121.62,17.56,95,0,6.22,1602704728
RU,Lavrentiya,65.58,-171.0,31.24,91,98,9.73,1602704729
RU,Chelno-Vershiny,54.43,51.1,50.7,43,99,8.32,1602704729
CN,Korla,41.76,86.15,49.66,45,0,6.44,1602704624
